"2020-07-13","Mkt","Portfolio","MTB","SOXL","IJR","SCZ","IWD","VOE"
"Arithmetic Average Return","17.30039393939394","33.68398615193887","12.613599083797673","63.59593047359201","18.85257585106266","12.695096889879306","16.197914843514358","17.93395268479008"
"Volatility","15.526620311488688","34.50266905586804","21.68170637056151","67.68978137817541","19.550384693240744","18.597822481678843","15.364157186603087","16.3526969294179"
"Geometric Average Return","17.454077207559937","33.617368608532104","10.804924705356346","50.064680617982994","18.454382798565195","11.581822288099985","16.196203892605567","18.043771251888295"
"Sharpe Ratio","1.1126150552138527","0.9755402885844838","0.5805980601530135","0.939147486593096","0.9630160082389329","0.6812547263594034","1.0526234679097033","1.0951533155568085"
"M2","0.0","-2.128307855740131","-8.260425881568803","-2.6933650743315996","-2.3227676013401415","-6.697568043561933","-0.9314665979550536","-0.27112180163299043"
"Beta (Mkt)","1.0000000000000007","1.162502476657708","1.0176596705513963","3.594575453297276","1.1853562834232725","1.0409050545999343","0.973597504515648","1.0305547392293637"
"Jenson's Alpha (Mkt)","-1.0658141036401503e-14","13.576337306695653","-4.9918683400792965","1.4738524609947135","-1.6498759687536761","-5.3119380654640445","-0.6463719860092958","0.10572099570293858"
"Tracking Error (Mkt)","1.0285027413664848e-14","29.404782843398355","14.846906298888788","38.301055967231974","6.594625771960304","9.202023690584843","2.7465156926666627","3.3730797679629796"
"Appraisal Ratio (Mkt)","-1.557748479131861","5.014816271928537","-0.24262253929850147","0.03147532382249053","-0.1746210889609242","-0.5909113226002053","-0.1405146169424709","0.017209868809317515"
"Beta (Portfolio)","0.2354194645363385","0.9999999999999999","0.2556085637398161","0.8276460021077527","0.26723683399055354","0.24947706936735936","0.23345312216067976","0.2403985349784648"
"Jenson's Alpha (Portfolio)","9.351228089811375","7.105427357601002e-15","3.984893518032216","35.71316336715223","9.832477316931236","4.272769721864183","8.314933608035002","9.817197579193836"
"Tracking Error (Portfolio)","13.232509572286961","4.383679236229641e-15","19.807031482346666","61.37150470219485","17.239549291050697","16.485987899631702","13.083510034848395","14.093039886667437"
"Appraisal Ratio (Portfolio)","0.7066859115972823","1.6208821345496778","0.20118580220280943","0.5819176756452413","0.5703442213559156","0.259175837558369","0.6355277433875068","0.6965990061861165"
"Fama-French const (coef)","6.522560269672795e-16","0.052151533195243224","-0.005526084783129395","0.0065579058504618565","0.005681829194911395","-0.018841843714424576","-5.2838845537542256e-05","0.0037969259981838303"
"Fama-French const (t)","31.951405419484768","0.9678631856521516","-0.22774941331185214","0.09736010690295697","1.213025099800302","-1.1312206888251373","-0.016935973019107195","0.6625461311302873"
"Fama-French Mkt-RF (coef)","0.9999999999999998","1.2224934353657457","0.8962855861218694","3.5558040252850356","0.9740083055612127","1.0530371561989422","0.975855454605858","0.9906126891917106"
"Fama-French Mkt-RF (t)","4.165417874552123e+16","19.292128111720405","31.41035513098816","44.88904780695223","176.81983655747305","53.75939205649401","265.96778599148837","146.9855315983718"
"Fama-French SMB (coef)","-1.6306400674181987e-16","-0.2773725735738185","0.19553977861860453","0.6123353310591891","0.8618963781730598","-0.09095820874987301","-0.09702812311020395","0.11783163074610355"
"Fama-French SMB (t)","-3.5536474099421387","-2.2901016894646045","3.585248006921482","4.0443575552523985","81.8617509958216","-2.429462511872997","-13.835626330373872","9.147243461991433"
"Fama-French HML (coef)","-2.7755575615628914e-16","0.06068748851116677","1.0514850825281887","-1.635623062214833","0.10896319717225475","0.09883136468385115","0.28037257552050954","0.1698063841348484"
"Fama-French HML (t)","-4.956246577056314","0.41056020967767554","15.796964421275241","-8.851765320408035","8.479929706210818","2.1629652168666413","32.75843647121456","10.801120340204655"
"Fama-French MOM (coef)","-1.734723475976807e-16","-0.0487832753926561","0.005143712365058124","-0.5250931860968424","-0.006661866915476183","-0.10251927325738569","-0.024964624516107155","0.0014921813243075344"
"Fama-French MOM (t)","-4.575833404572018","-0.4875126957684873","0.11415225145760231","-4.197786348778677","-0.7658534081492734","-3.3143437108073637","-4.308736688910303","0.14020828370662014"
"Fama-French R2","1.0","0.2776094255634324","0.6290675952754489","0.7067180948754381","0.9829981474116781","0.7624259889513116","0.9877865495459947","0.9636233582635905"
