"2020-07-13","Mkt","Portfolio","MTB","SOXL","IJR","SCZ","IWD","VOE"
"Arithmetic Average Return","11.162459094519457","13.67425684867344","4.224668095402042","65.32040627959837","6.463511375158489","4.572296033274602","5.965678158067515","4.975169554140717"
"Volatility","19.266614082512397","26.1781458393665","30.242193681944833","85.90525259512401","22.66324436275945","17.946091783070525","19.242696558980303","20.559122455706742"
"Geometric Average Return","9.738680198903404","10.743466631344178","-0.3522156729969139","31.73824725682488","3.9482776365114436","2.9808946066030684","4.186227884809046","2.886446413258792"
"Sharpe Ratio","0.5242237085545262","0.4817687897823512","0.10456334351148612","0.748009709878319","0.23831840136435398","0.19557755899196272","0.2548101787160019","0.1903158246989615"
"M2","0.0","-0.8179625358879057","-8.08543429901053","4.311598524574126","-5.508427217775203","-6.33189853332556","-5.190686508006285","-6.433274337353537"
"Beta (Mkt)","0.9999999999999997","1.3514457121303836","1.150421336851153","3.738141177711729","1.0691968531515725","0.8061778765079564","0.969800995004462","1.0183367426568413"
"Jenson's Alpha (Mkt)","3.552713678800501e-15","-1.0378095212971576","-8.457048890850785","26.502677793110593","-5.397837035427009","-4.6325565349899325","-4.891770506266985","-6.372490932503428"
"Tracking Error (Mkt)","6.842016653639312e-15","2.707245205111897","20.574627380095713","46.82564885771183","9.44832023767116","8.989399698908729","4.600033790605084","6.143044835164615"
"Appraisal Ratio (Mkt)","0.5192494930439536","-0.38334522463555804","-0.4110426271453303","0.5659863438015297","-0.5713012365844067","-0.5153354717948856","-1.06342055927018","-1.0373505490348036"
"Beta (Portfolio)","0.7320346456139232","1.0000000000000002","0.8321600122535739","2.737187240049697","0.7642864201116031","0.5921956483162504","0.7093555067232716","0.739297875087847"
"Jenson's Alpha (Portfolio)","0.8677313572801495","-3.552713678800501e-15","-7.332822106510936","29.73706770201875","-4.237969731597686","-3.958808330473108","-4.043024505972266","-5.411160679646656"
"Tracking Error (Portfolio)","1.9924806330319258","5.727673973299901e-15","20.97689030445421","47.3850920716606","10.645117778408387","9.04058063125378","5.044886964630545","6.936972136467814"
"Appraisal Ratio (Portfolio)","0.43550303219747566","-0.620271631269834","-0.3495666898231285","0.6275616739764334","-0.3981139354036653","-0.4378931500026991","-0.8014103258046636","-0.7800464775114299"
"Fama-French const (coef)","-1.0343288725511712e-16","-0.008254094252494154","0.013187674776341394","0.07793847302473549","0.00447814984234059","-0.014287687217797544","-0.00744231567633785","-0.00883688145554225"
"Fama-French const (t)","-22.247069192969597","-2.144322216798786","0.4622141694322973","0.9658950833671379","0.7174879756214836","-0.9023511058390096","-1.5336961550819623","-1.150780183305999"
"Fama-French Mkt-RF (coef)","1.0","1.3673135319434586","1.0418137668007061","3.764148968849949","0.9773219216517846","0.7937979655113485","0.9428813929644834","0.9727866299758698"
"Fama-French Mkt-RF (t)","2.5571531729417754e+17","422.3099546506659","43.411791029182176","55.460968652751475","186.16422698083426","59.602734825742886","231.01005959658895","150.60990126932916"
"Fama-French SMB (coef)","-2.3852447794681098e-17","-0.16782450084177877","-0.0414702048362949","0.6505268251573598","0.8361202315242913","0.011029894544825251","-0.0822528660830741","0.13429623412250527"
"Fama-French SMB (t)","-2.882312459375365","-24.49457638355929","-0.8165920629758036","4.529363957327976","75.26250782194748","0.39136224653362117","-9.523053599146234","9.825420080783731"
"Fama-French HML (coef)","-2.6020852139652106e-17","-0.021933117957857278","1.1629385809720547","-1.147558374901443","0.23514007250971522","0.06583041557800898","0.3103166829980789","0.31576726394960014"
"Fama-French HML (t)","-3.36235707634281","-3.4231754282047624","24.48724719800339","-8.543995475251617","22.633452902896824","2.4977466073072643","38.418864625948","24.70407572566403"
"Fama-French MOM (coef)","1.238158880978446e-16","-0.007614738579792958","0.034425319447936746","-0.3499130207748161","0.03494791837674869","-0.054633858415596016","-0.03540173233051289","-0.030039703310943036"
"Fama-French MOM (t)","19.40567198945926","-1.4414970942837648","0.8792070401688882","-3.1599216732793605","4.080143804712926","-2.5142800250931407","-5.316109369045068","-2.850539977148462"
"Fama-French R2","1.0","0.9931970516166175","0.7199530747248654","0.7223842360178261","0.9761379300060393","0.7550955714718697","0.9799919172072938","0.9561067498351671"
